,pixels,ratio_%
unclassified,127859,
blank,25710,
Spl,6061,0.9864411138109893
Ol,304439,49.54811850313542
Opx,122785,19.983529476865588
Cpx,88649,14.427820210894307
Grt,92497,15.054090695293695
